08:54:13 AMCI last=3.18 hi=4.15 bid=3.01 ask=3.25 spread=7.97% trail10vol=9781 cap20=1956 shares@ask=4615 fillarm=PASS (ask < trigger) | SPREAD-VETO 7.97%; SIZE-CAP 1956 < 4615 | trig:   AMCI    08:48  macd_cross_up  [STALE (5m since close) -- DO NOT ENTER; wait for a fresh signal]
08:55:18 AMCI last=3.19 hi=4.15 bid=3.01 ask=3.25 spread=7.97% trail10vol=13832 cap20=2766 shares@ask=4615 fillarm=PASS (ask < trigger) | SPREAD-VETO 7.97%; SIZE-CAP 2766 < 4615 | trig:   AMCI    08:48  macd_cross_up  [STALE (6m since close) -- DO NOT ENTER; wait for a fresh signal]
08:56:12 AMCI last=3.19 hi=4.15 bid=3.16 ask=3.25 spread=2.85% trail10vol=13832 cap20=2766 shares@ask=4615 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.85%; SIZE-CAP 2766 < 4615 | trig:   AMCI    08:48  macd_cross_up  [STALE (7m since close) -- DO NOT ENTER; wait for a fresh signal]
08:57:12 AMCI last=3.25 hi=4.15 bid=3.16 ask=3.24 spread=2.53% trail10vol=15358 cap20=3071 shares@ask=4629 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.53%; SIZE-CAP 3071 < 4629 | trig:   AMCI    08:48  macd_cross_up  [STALE (8m since close) -- DO NOT ENTER; wait for a fresh signal]
08:58:15 AMCI last=3.25 hi=4.15 bid=3.16 ask=3.25 spread=2.85% trail10vol=15358 cap20=3071 shares@ask=4615 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.85%; SIZE-CAP 3071 < 4615 | trig:   AMCI    08:48  macd_cross_up  [STALE (9m since close) -- DO NOT ENTER; wait for a fresh signal]
08:59:12 AMCI last=3.25 hi=4.15 bid=3.11 ask=3.22 spread=3.54% trail10vol=15358 cap20=3071 shares@ask=4658 fillarm=PASS (ask < trigger) | SPREAD-VETO 3.54%; SIZE-CAP 3071 < 4658 | trig:   AMCI    08:48  macd_cross_up  [STALE (10m since close) -- DO NOT ENTER; wait for a fresh signal]
09:00:21 AMCI last=3.25 hi=4.15 bid=3.11 ask=3.18 spread=2.25% trail10vol=15358 cap20=3071 shares@ask=4716 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.25%; SIZE-CAP 3071 < 4716 | trig:   AMCI    08:48  macd_cross_up  [STALE (11m since close) -- DO NOT ENTER; wait for a fresh signal]
09:01:12 AMCI last=3.128 hi=4.15 bid=3.11 ask=3.22 spread=3.54% trail10vol=16568 cap20=3313 shares@ask=4658 fillarm=PASS (ask < trigger) | SPREAD-VETO 3.54%; SIZE-CAP 3313 < 4658 | trig:   AMCI    08:48  macd_cross_up  [STALE (12m since close) -- DO NOT ENTER; wait for a fresh signal]
09:02:12 AMCI last=3.01 hi=4.15 bid=2.98 ask=3.22 spread=8.05% trail10vol=13686 cap20=2737 shares@ask=4658 fillarm=PASS (ask < trigger) | SPREAD-VETO 8.05%; SIZE-CAP 2737 < 4658 | trig:   AMCI    no buy_set signal in the last 8 bars
09:03:14 AMCI last=2.98 hi=4.15 bid=3.03 ask=3.22 spread=6.27% trail10vol=13986 cap20=2797 shares@ask=4658 fillarm=PASS (ask < trigger) | SPREAD-VETO 6.27%; SIZE-CAP 2797 < 4658 | trig:   AMCI    no buy_set signal in the last 8 bars
09:04:12 AMCI last=3.03 hi=4.15 bid=3.03 ask=3.22 spread=6.27% trail10vol=13659 cap20=2731 shares@ask=4658 fillarm=PASS (ask < trigger) | SPREAD-VETO 6.27%; SIZE-CAP 2731 < 4658 | trig:   AMCI    no buy_set signal in the last 8 bars
09:05:19 AMCI last=3.03 hi=4.15 bid=3.03 ask=3.22 spread=6.27% trail10vol=13659 cap20=2731 shares@ask=4658 fillarm=PASS (ask < trigger) | SPREAD-VETO 6.27%; SIZE-CAP 2731 < 4658 | trig:   AMCI    no buy_set signal in the last 8 bars
09:06:17 AMCI last=3.03 hi=4.15 bid=3.03 ask=3.22 spread=6.27% trail10vol=13659 cap20=2731 shares@ask=4658 fillarm=PASS (ask < trigger) | SPREAD-VETO 6.27%; SIZE-CAP 2731 < 4658 | trig:   AMCI    no buy_set signal in the last 8 bars
09:07:12 AMCI last=3.03 hi=4.15 bid=2.99 ask=3.22 spread=7.69% trail10vol=11849 cap20=2369 shares@ask=4658 fillarm=PASS (ask < trigger) | SPREAD-VETO 7.69%; SIZE-CAP 2369 < 4658 | trig:   AMCI    no buy_set signal in the last 8 bars
09:08:13 AMCI last=3.09 hi=4.15 bid=2.99 ask=3.21 spread=7.36% trail10vol=12649 cap20=2529 shares@ask=4672 fillarm=PASS (ask < trigger) | SPREAD-VETO 7.36%; SIZE-CAP 2529 < 4672 | trig:   AMCI    no buy_set signal in the last 8 bars
09:09:15 AMCI last=3.0696 hi=4.15 bid=3.01 ask=3.21 spread=6.64% trail10vol=13116 cap20=2623 shares@ask=4672 fillarm=PASS (ask < trigger) | SPREAD-VETO 6.64%; SIZE-CAP 2623 < 4672 | trig:   AMCI    no buy_set signal in the last 8 bars
09:10:17 AMCI last=3.13 hi=4.15 bid=2.98 ask=3.13 spread=5.03% trail10vol=12611 cap20=2522 shares@ask=4792 fillarm=PASS (ask < trigger) | SPREAD-VETO 5.03%; SIZE-CAP 2522 < 4792 | trig:   AMCI    no buy_set signal in the last 8 bars
09:11:13 AMCI last=3.13 hi=4.15 bid=2.98 ask=3.13 spread=5.03% trail10vol=12611 cap20=2522 shares@ask=4792 fillarm=PASS (ask < trigger) | SPREAD-VETO 5.03%; SIZE-CAP 2522 < 4792 | trig:   AMCI    no buy_set signal in the last 8 bars
09:12:13 AMCI last=3.13 hi=4.15 bid=2.98 ask=3.13 spread=5.03% trail10vol=12611 cap20=2522 shares@ask=4792 fillarm=PASS (ask < trigger) | SPREAD-VETO 5.03%; SIZE-CAP 2522 < 4792 | trig:   AMCI    no buy_set signal in the last 8 bars
09:13:13 AMCI last=3.13 hi=4.15 bid=2.98 ask=3.13 spread=5.03% trail10vol=12611 cap20=2522 shares@ask=4792 fillarm=PASS (ask < trigger) | SPREAD-VETO 5.03%; SIZE-CAP 2522 < 4792 | trig:   AMCI    no buy_set signal in the last 8 bars
09:14:13 AMCI last=3.13 hi=4.15 bid=2.98 ask=3.13 spread=5.03% trail10vol=12611 cap20=2522 shares@ask=4792 fillarm=PASS (ask < trigger) | SPREAD-VETO 5.03%; SIZE-CAP 2522 < 4792 | trig:   AMCI    no buy_set signal in the last 8 bars
09:15:18 AMCI last=3.13 hi=4.15 bid=3.03 ask=3.13 spread=3.30% trail10vol=12611 cap20=2522 shares@ask=4792 fillarm=PASS (ask < trigger) | SPREAD-VETO 3.30%; SIZE-CAP 2522 < 4792 | trig:   AMCI    no buy_set signal in the last 8 bars
09:16:13 AMCI last=3.13 hi=4.15 bid=3.03 ask=3.13 spread=3.30% trail10vol=12611 cap20=2522 shares@ask=4792 fillarm=PASS (ask < trigger) | SPREAD-VETO 3.30%; SIZE-CAP 2522 < 4792 | trig:   AMCI    no buy_set signal in the last 8 bars
09:17:12 AMCI last=3.13 hi=4.15 bid=3.03 ask=3.13 spread=3.30% trail10vol=12611 cap20=2522 shares@ask=4792 fillarm=PASS (ask < trigger) | SPREAD-VETO 3.30%; SIZE-CAP 2522 < 4792 | trig:   AMCI    no buy_set signal in the last 8 bars
09:18:14 AMCI last=3.13 hi=4.15 bid=3.03 ask=3.13 spread=3.30% trail10vol=12611 cap20=2522 shares@ask=4792 fillarm=PASS (ask < trigger) | SPREAD-VETO 3.30%; SIZE-CAP 2522 < 4792 | trig:   AMCI    no buy_set signal in the last 8 bars
09:19:13 AMCI last=3.12 hi=4.15 bid=3.05 ask=3.13 spread=2.62% trail10vol=8081 cap20=1616 shares@ask=4792 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.62%; SIZE-CAP 1616 < 4792 | trig:   AMCI    no buy_set signal in the last 8 bars
09:20:23 AMCI last=3.12 hi=4.15 bid=3.06 ask=3.21 spread=4.90% trail10vol=8081 cap20=1616 shares@ask=4672 fillarm=PASS (ask < trigger) | SPREAD-VETO 4.90%; SIZE-CAP 1616 < 4672 | trig:   AMCI    no buy_set signal in the last 8 bars
09:21:15 AMCI last=3.13 hi=4.15 bid=3.05 ask=3.21 spread=5.25% trail10vol=5874 cap20=1174 shares@ask=4672 fillarm=PASS (ask < trigger) | SPREAD-VETO 5.25%; SIZE-CAP 1174 < 4672 | trig:   AMCI    no buy_set signal in the last 8 bars
09:22:12 AMCI last=3.0844 hi=4.15 bid=3.05 ask=3.21 spread=5.25% trail10vol=4696 cap20=939 shares@ask=4672 fillarm=PASS (ask < trigger) | SPREAD-VETO 5.25%; SIZE-CAP 939 < 4672 | trig:   AMCI    no buy_set signal in the last 8 bars
09:23:12 AMCI last=3.0828 hi=4.15 bid=2.97 ask=3.13 spread=5.39% trail10vol=3729 cap20=745 shares@ask=4792 fillarm=PASS (ask < trigger) | SPREAD-VETO 5.39%; SIZE-CAP 745 < 4792 | trig:   AMCI    no buy_set signal in the last 8 bars
09:24:14 AMCI last=3.0828 hi=4.15 bid=2.97 ask=3.13 spread=5.39% trail10vol=3729 cap20=745 shares@ask=4792 fillarm=PASS (ask < trigger) | SPREAD-VETO 5.39%; SIZE-CAP 745 < 4792 | trig:   AMCI    no buy_set signal in the last 8 bars
09:25:20 AMCI last=3.0828 hi=4.15 bid=2.97 ask=3.21 spread=8.08% trail10vol=3729 cap20=745 shares@ask=4672 fillarm=PASS (ask < trigger) | SPREAD-VETO 8.08%; SIZE-CAP 745 < 4672 | trig:   AMCI    no buy_set signal in the last 8 bars
09:26:14 AMCI last=3.0828 hi=4.15 bid=2.97 ask=3.21 spread=8.08% trail10vol=3729 cap20=745 shares@ask=4672 fillarm=PASS (ask < trigger) | SPREAD-VETO 8.08%; SIZE-CAP 745 < 4672 | trig:   AMCI    no buy_set signal in the last 8 bars
