NUR	Nuran Wireless	2.3785310734463283	5.98	5659589.708331
BNC	CEA Industries	0.36641833810888236	4.7688	47038260.512218
EO	Corgi EOSE 2x Daily ETF	0.29141475211608225	10.68	1550.409212
EOSU	T-REX 2X Long EOSE Daily Target ETF	0.2845953002610966	9.84	352804.470267
WYHG	Wing Yip Food Holdings Group	0.2832512315270937	5.21	16411966.132754
YQ	17 Education & Technology	0.2465753424657535	3.64	145103.573615
TDOT	21shares Polkadot Staking ETF	0.24594900257553146	13.11	5558.0094
SMUP	T-REX 2X Long SMR Daily Target ETF	0.2358490566037736	6.55	150039.220342
SMU	Tradr 2X Long SMR Daily ETF	0.21954887218045097	8.11	2102676.93874
BUUU	BUUU Group Limited Class A	0.21387283236994215	42	76056.955135
SMRX	Corgi SMR 2x Daily ETF	0.20499998026531327	30.53	206
SLE	Super League Enterprise	0.20408163265306117	4.72	715903.708774
TEUP	T-REX 2X Long TE Daily Target ETF	0.20145985401459868	32.92	10779.874773
BSEM	BioStem Technologies	0.18598382749326156	4.4	224905.897221
AAOX	Tradr 2X Long AAOI Daily ETF	0.17913204062788546	12.77	5410105.580891
NUAI	New Era Energy & Digital	0.17652495378927913	6.365	5427955.304137
LITU	T-REX 2X Long LITE Daily Target ETF	0.17621385706492093	21.56	79216.861
QUA	Corgi QBTS 2x Daily ETF	0.17619392743141774	15.255	1947.7759
ROIV	Roivant Sciences	0.17578013169195536	41.07	6518740.058373
LITX	Tradr 2X Long LITE Daily ETF	0.17534899557371475	34.52	1729029.270632
HFSP	Tidal Trust III TradersAI Large Cap Equity & Cash ETF	0.175344563552833	15.35	0
RGTC	Corgi RGTI 2x Daily ETF	0.17469837245096073	25.11	368
OBX	Obsidian Therapeutics	0.17211652794292506	19.715	119810.458495
QBTX	Tradr 2X Long QBTS Daily ETF	0.17006802721088435	6.88	2513877.649929
COHX	Tradr 2X Long COHR Daily ETF	0.1695364238410596	26.49	1397405.834501
LITG	Leverage Shares 2X Long LITE Daily ETF	0.169111519607843	19.0799	7486.66335
COHH	Leverage Shares 2X Long COHR Daily ETF	0.16696269982238018	6.57	623513.901967
AAOG	Leverage Shares 2X Long AAOI Daily ETF	0.16528925619834708	2.82	2350066.393714
EAF	GrafTech	0.16466129032258067	7.2209	407569.481568
INFH	Defiance Daily Target 2X Long INFQ ETF	0.16290726817042592	9.28	118469.5818
HCWC	Healthy Choice Wellness	0.16243589743589743	8.1603	113370.950233
JOBC	Corgi JOBY 2x Daily ETF	0.15640710399143046	19	0
GRNQ	Greenpro Capital	0.15575401069518724	21.6126	341461.804559
IONC	Corgi IONQ 2x Daily ETF	0.15533838596732705	13.43	128
IONX	Defiance Daily Target 2X Long IONQ ETF	0.15278667243617478	26.6409	871719.72149
BEC	Corgi BE 2x Daily ETF	0.15270880290311845	18.36	32539.101918
BEX	Tradr 2X Long BE Daily ETF	0.15132605304212174	36.9	2190739.211919
EOSE	Eos Energy	0.15077319587628865	4.465	18962387.599861
TMS	Teamshares Inc.	0.15072933549432735	7.1	48855.665604
LITC	Corgi LITE 2x Daily ETF	0.15054497480306503	30	2150.3293
FCXG	Leverage Shares 2x Long FCX Daily ETF	0.14985757796219332	18.65	37282.6295
SEI	Solaris Energy Infrastructure	0.14981818181818185	63.24	1544256.321014
IONL	GraniteShares ETF Trust GraniteShares 2x Long IONQ Daily ETF	0.1492537313432836	14.63	740729.79725
PHVS	Pharvaris	0.14893617021276595	40.5	2521758.183393
FAC	Factorial Energy Inc.	0.14875239923224576	5.985	215691.389313
AVAZ	2x Avalanche ETF	0.14859857896342793	10.54	976.780183
BEG	Leverage Shares 2x Long BE Daily ETF	0.14716391246091998	51.37	398580.007916
INTW	GraniteShares 2x Long INTC Daily ETF	0.1464994026284349	23.9905	3740272.080557
