ACLZ	Corgi ACLS 2x Daily ETF	2.478778930463276	26.86	24
DUKR	Duke Robotics Corp.	1.285185185185185	12.34	30866.0338
AMEM	Amana Developing World ETF	1.1896302416856024	53	1099.9489
MEDS	DataMeds AI	1.1856790123456789	3.5408	65061250.0401377
VRC	Corgi VRT 2x Daily ETF	0.6055381440441081	20.85	198.125
ACMM	Corgi ACMR 2x Daily ETF	0.599235585506299	12.72	1946.6819
JOBC	Corgi JOBY 2x Daily ETF	0.5595410493483346	21	714.671097
UUUC	Corgi UUUU 2x Daily ETF	0.534374890776275	26.34	243.15
DRVR	Amplify S&P 500 Dividend Drivers ETF	0.5080019273116788	37.87	33.9593
SSMG	Virtus Silvant Small/Mid Growth ETF	0.489773897689931	36.45	514.845
RETO	ReTo Eco-Solutions	0.42500000000000016	3.99	232785621.11564
HBTC	Fortuna Hedged Bitcoin ETF	0.4185715473680605	29	14.2174
CAMC	Corgi CAMT 2x Daily ETF	0.4082523588227011	19	536
AIQD	MicroSectors -3x Short Artificial Intelligence (AI) ETNs	0.38770556614586854	67.92	383.4828
KEYX	Corgi KEYS 2x Daily ETF	0.36642574662484667	25.05	6
NAMI	Jinxin Technology Holding Company	0.3640350877192983	3.11	23965345.664183
ACHX	Corgi ACHR 2x Daily ETF	0.3560736452302718	39	42.7646
MRAX	Tradr 2X Long MRAM Daily ETF	0.30869219205942167	25.16	174
LRNX	Corgi LRN 2x Daily ETF	0.30161850807529483	30.19	7
MNSX	Corgi MNST 2x Daily ETF	0.28422771986492423	27.99	122
MEMY	Tuttle Capital Meme Stock Income Blast ETF	0.2795857527835347	20.56	9071.0941
GLX	Corgi GLXY 2x Daily ETF	0.2628632584177163	15.34	6
AMKX	Corgi AMKR 2x Daily ETF	0.2594365570758084	10.7605	58.22169
OCNL	T-REX 2X Long DOCN Daily Target ETF	0.2586312814842118	25.61	524.578489
XEY	GraniteShares YieldBOOST Ether ETF	0.2453879201415214	24.64	53.7462
UPAL	ProShares Ultra Palladium K-1 Free ETF	0.21297003649944812	28.58	773.269
WEBX	Corgi Chinese Internet 2x Daily ETF	0.21290380787513463	21.51	70.0905
MSTC	Corgi MSTR 2x Daily ETF	0.21096331791143436	58.63	744.828
BTDL	GraniteShares 2x Long BTDR Daily ETF	0.2105502439421596	17.84	20077.6331
SOFC	Corgi SOFI 2x Daily ETF	0.20734528629265472	23.38	207
ARMA	Corgi ARM 2x Daily ETF	0.20597479797548152	12.7	474.801119
FTFT	Future FinTech Group Inc.	0.20209059233449478	6.9	9077917.904621
UPSC	Corgi UPST 2x Daily ETF	0.20133662561175755	16.25	106
ISHP	First Trust Exchange-Traded Fund VI First Trust S-Network E-Commerce ETF	0.19984787438770873	41.96	22.5391
UPGR	DBX ETF Trust Xtrackers US Green Infrastructure Select Equity ETF	0.19583704186751505	27.14	21.1373
IREC	Corgi IREN 2x Daily ETF	0.1956033255935885	25.54	97088
ANTA	Antalpha Platform Holding Company Class A	0.1880341880341881	4.17	24667.662787
GEMG	Leverage Shares 2X Long GEMI Daily ETF	0.18640555525058997	8.6451	92535.304727
MWHS	Skylar Electricity Futures ETF	0.18597743408391326	22	241.5991
CCFE	EA Series Trust Concourse Capital Focused Equity ETF	0.18202347771244895	29.05	22
NVOC	Corgi NVO 2x Daily ETF	0.17855525487380575	21.3401	20.0983
AIHY	Defiance AI Hyperscale Leaders ETF	0.16518483855872707	24.9	5659.291
LIMI	Themes Lithium & Battery Metal Miners ETF	0.1651456432054008	46.6	136.490839
SANG	Sangoma Technologies	0.16138328530259366	4.03	884
XQTM	Corgi Quantum Computing 2x Daily ETF	0.16118449451782776	13.45	29.3687
STMX	Leverage Shares 2X Long STM Daily ETF	0.1604184687698911	14.22	1947.0993
ENRD	Einride AB	0.1573333333333333	4.34	84459.049254
TSCM	TimesSquare Quality Mid Cap Growth ETF	0.15673769068056248	21.71	813.2816
AXTC	Corgi AXTI 2x Daily ETF	0.15580633418274484	13.97	596.047561
SFYF	SoFi Social 50 ETF	0.15485221239079117	72.45	1698.797628
SUPP	TCW Transform Supply Chain ETF	0.15449081994450223	86.58	22.497
ASTT	Corgi ASTS 2x Daily ETF	0.15066839371722482	18.3	36.8722
RKNG	ETF Series Solutions Defiance Retail Kings ETF	0.15001755577949938	25.22	733.5724
