BFJL	FT Vest Bitcoin Strategy Floor15 ETF - July	0.12105679515382706	20.69	8
RTB	RTB Digital, Inc.	0.12035995500562433	9.96	347761.632179
INLX	Intellinetics	0.11764705882352952	5.7	2149.0451
COE	51Talk Online Education	0.11753183153770805	11.41	10222.318149
VICR	Vicor	0.11739437768473712	205.5	573847.226479
GLAS	Glass House Brands Inc.	0.11706102117061037	8.97	545936.965418
LNOK	Defiance Daily Target 2X Long NOK ETF	0.11639244363193176	18.32	196614.34833
ARL	American Realty	0.11594202898550736	17.71	20364.171913
GLOO	Gloo Holdings	0.11547911547911541	4.54	4.112966232325e+06
NRSH	Aztlan North America Nearshoring Stock Selection ETF	0.11481033091202575	33.15	43.6844
PYZ	Invesco Exchange-Traded Fund Trust Invesco Dorsey Wright Basic Materials Momentum ETF	0.11337706002314948	131.3	523.591
CRWG	Leverage Shares 2X Long CRWV Daily ETF	0.11314083677077205	18.89	1.354696596244e+06
ABLS	Abacus FCF Small Cap Leaders ETF	0.11299309746120564	23.59	122.2516
CWVX	Tradr 2X Long CRWV Daily ETF	0.11244695898161243	15.73	1.112811096973e+06
PMTL	First Trust Indxx Quality Precious Metals Miners ETF	0.11218124198234411	27.83	322
CCPX	Corgi China 2x Daily ETF	0.1121631361022003	23.61	8
RAPP	Rapport Therapeutics	0.11113795602802612	45.99	387025.805542
SVRN	SVRN	0.11111111111111117	13	16208.448268
ALF	Centurion Acquisition Corp	0.11111111111111104	12	2659.1729
BOLT	Bolt Biotherapeutics	0.11019283746556484	4.03	29004.376034
ITDF	iShares LifePath Target Date 2050 ETF	0.11006539733101667	46	5497.710464
RACD	Research Alliance Corporation IV Class A	0.10978723404255313	13.04	4697
IMDX	Insight Molecular Diagnostics	0.10893854748603356	3.97	303077.689401
FOMG	Leverage Shares 2X Long FORM Daily ETF	0.108786610878661	5.3	12463
CRWU	T-REX 2X Long CRWV Daily Target ETF	0.10873549175320693	36.3	159402.283438
